exercise_name,muscle_group,primary_muscles,like,progress,combined_score
Cable Crunch,Core,Abs,5,4,20
Bench Press (Dumbbell),Chest,Pecs / triceps,4,4,16
Lat Pulldown (Cable),Back & Shoulders,Lats,4,4,16
Seated Row (Machine),Back & Shoulders,Mid-back,4,4,16
Hip Abduction (Machine),Legs,Abductors / glutes,4,4,16
Leg Press (Machine),Legs,Quads / glutes,4,4,16
Romanian Deadlift (Barbell),Legs,Hamstrings / glutes,4,4,16
Seated Leg Curl (Machine),Legs,Hamstrings,3,4,12
Cable Fly Crossovers,Chest,Pecs,4,3,12
Chest Fly (Machine),Chest,Pecs,4,3,12
Incline Bench Press (Dumbbell),Chest,Upper pecs,4,3,12
Lateral Raise (Dumbbell),Back & Shoulders,Side delts,4,3,12
Seated Overhead Press (Dumbbell),Back & Shoulders,Delts,4,3,12
Shoulder Press (Dumbbell),Back & Shoulders,Delts,4,3,12
Back Extension (Machine),Core,Lower back / core,3,3,9
Back Extension (Machine),Back & Shoulders,Lower back,3,3,9
Leg Extension (Machine),Legs,Quads,3,3,9
Arnold Press (Dumbbell),Arms,Delts / biceps,4,2,8
Hanging Knee Raise,Core,Lower abs / hip flexors,4,2,8
Bicep Curl (Barbell),Arms,Biceps,3,2,6
Crunch (Machine),Arms,Triceps (machine variant),3,2,6
Triceps Extension (Dumbbell),Arms,Triceps,3,2,6
Triceps Pushdown,Arms,Triceps,3,2,6
Triceps Rope Pushdown,Arms,Triceps,3,2,6
Chest Dip (Assisted),Chest,Lower pecs / triceps,3,2,6
Incline Chest Press (Machine),Chest,Upper pecs,3,2,6
Crunch (Machine),Core,Abs,3,2,6
Dumbbell Row,Back & Shoulders,Lats / mid-back,3,2,6
Deadlift (Dumbbell),Legs,Posterior chain,3,2,6
Goblet Squat,Legs,Quads / glutes,3,2,6
Kettlebell Goblet Squat,Legs,Quads / glutes,3,2,6
Farmers Carry,Back & Shoulders,Traps / core,4,1,4
Around The World,Chest,Pecs / shoulders,3,1,3
Bent Over Row (Barbell),Back & Shoulders,Mid-back / lats,3,1,3
Pull Up (Assisted),Back & Shoulders,Lats / biceps,3,1,3
Kettlebell Swing,Legs,Posterior chain,3,1,3
Crunch (Stability Ball),Core,Abs,2,1,2
Decline Crunch,Core,Abs,2,1,2
Lunge,Legs,Quads / glutes,2,1,2
