Week,Day,Main Lift 1,Main Lift 2,Accessory 1a,Accessory 1b,Accessory 2a,Accessory 2b
1,1,Squat 5/3/1,Overhead Press FSL 5x5,,,,
1,2,Deadlift 5/3/1,Bench Press FSL 5x5,,,,
1,3,Overhead Press 5/3/1,Squat FSL 5x5,,,,
2,1,Bench Press 5/3/1,Deadlift FSL 3x5,,,,
2,2,Squat 5/3/1,Overhead Press FSL 5x5,,,,
2,3,Deadlift 5/3/1,Bench Press FSL 5x5,,,,
3,1,Overhead Press 5/3/1,Squat FSL 5x5,,,,
3,2,Bench Press 5/3/1,Deadlift FSL 3x5,,,,
3,3,Squat 5/3/1,Overhead Press FSL 5x5,,,,
4,1,Deadlift 5/3/1,Bench Press FSL 5x5,,,,
4,2,Overhead Press 5/3/1,Squat FSL 5x5,,,,
4,3,Bench Press 5/3/1,Deadlift FSL 3x5,,,,
